board_state,pawn_move,before_eval,after_eval,eval_change
rn2kb1r/pp2pp1p/2pp2p1/q4bB1/3Pn3/5N1P/PPPNQPP1/R3KB1R w KQkq - 4 8,c2c3,-85,-171,86
r3kb1r/pp1npp1p/2pp2p1/q4b2/3P4/2P2N1P/PP1BQPP1/R3KB1R w KQkq - 1 10,b2b4,-39,-157,118
8/p3r2k/5R2/6p1/1PpP3p/2Pb3P/P4PP1/2r1B1K1 w - - 0 35,g2g4,-876,-10000,9124
8/p6k/5R2/6p1/1PpPb1Pp/2P4P/P4PK1/2r1r3 w - - 2 37,f2f3,-10000,-10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,31,28,-3
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,40,34,-6
rnbqk2r/ppp2ppp/4pb2/3p4/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 6,e4e5,-7,-57,50
r4rk1/3b2pp/2p1p3/2RpPp2/8/2K5/P1P2PPP/R7 w - - 2 22,a2a4,-459,-431,-28
5rk1/3b2pp/r1p1p3/2RpPp2/P7/2K5/2P2PPP/R7 w - - 1 23,a4a5,-405,-430,25
r5k1/3b4/r1p1p3/P1RpPppp/R2K4/8/2P2PPP/8 w - - 0 26,h2h3,-407,-416,9
r5k1/3b4/r1p1p3/P1RpP1pp/R2K1p2/7P/2P2PP1/8 w - - 0 27,f2f3,-417,-422,5
r3b3/3k4/r1p1p3/P1RpP1pp/R4p2/5P1P/2P2KP1/8 w - - 7 31,g2g3,-465,-424,-41
r7/3k4/r1p1p3/P1RpPbpp/8/5PKP/R1P5/8 w - - 3 34,h3h4,-398,-424,26
r7/3k4/r1p1p3/P1RpPb1p/6pP/5PK1/R1P5/8 w - - 0 35,f3g4,-420,-450,30
8/4K3/r3p3/P1kp4/R1p3pP/8/2r5/8 w - - 0 46,h4h5,-754,-785,31
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,28,34,6
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,a2a3,20,0,-20
r1b1k1nr/pppp1ppp/2n2q2/2b1p3/2B1P3/P4N2/1PPP1PPP/RNBQK2R w KQkq - 1 5,b2b4,27,18,-9
r1b1k1nr/pppp1ppp/1bn2q2/4p3/1PB1P3/P4N2/2PP1PPP/RNBQK2R w KQkq - 1 6,d2d3,25,-13,-38
r1b2rk1/1pppnpp1/pb3q1p/8/1PBpP3/P1NP1N2/2P2PPP/R2QR1K1 w - - 0 12,e4e5,65,72,7
r1b2rk1/1pp1npp1/pb4qp/3pP3/1PBpN3/P2P1N2/2P2PPP/R2QR1K1 w - d6 0 14,e5d6,211,220,9
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,26,0
r1bqkb1r/2pp1pp1/p1n3np/1p1Np3/4P3/1B3N2/PPPP1PPP/R1BQK2R w KQkq - 2 8,c2c4,106,-69,-175
7r/4b1pk/6np/p2Q4/Bp6/8/PP1P1P1P/R1B3K1 w - - 1 23,d2d3,702,699,-3
5r2/6pk/6np/p7/1p1BQ2b/1B1P4/PP3P1P/5RK1 w - - 11 29,f2f4,776,839,63
3b1r2/6pk/6np/p7/1p1BQP2/1B1P4/PP5P/5RK1 w - - 1 30,f4f5,900,986,86
3b1r2/4n1pk/7p/p4P2/1p1BQ3/1B1P4/PP5P/5RK1 w - - 1 31,f5f6,10000,10000,0
3b1r2/6pk/5Pnp/p7/1p1BQ3/1B1P4/PP5P/5RK1 w - - 1 32,f6g7,10000,10000,0
3b4/6Pk/6n1/p6p/1p1BQ3/1B1P4/PP5P/5K2 w - - 0 34,g7g8q,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,31,31,0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f2f4,33,-2,-35
rnbqkbnr/pp2pppp/8/2pp4/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,e4d5,19,23,4
